lng,lat,O_Demand,accessibility
-82.357221,29.6757403,2084,0.06349193229173192
-82.3022838,30.3244416,116,0.04248227613869031
-85.5343954,30.1591402,1771,0.039299453066970254
-82.1666983,29.9523863,222,0.050018123541139194
-80.7003334,28.2983112,90,0.07529021623227955
-80.4766834,26.1935353,15730,0.07395444629197473
-85.1979155,30.3888013,83,0.03760192392874541
-82.0036572,26.9063964,111,0.06974447482384781
-82.5955524,28.8502922,681,0.08194218511284651
-81.8650364,29.9865835,808,0.0517296517211647
-81.4009553,26.118786,44,0.05835774768993062
-82.6233712,30.2216509,585,0.04264736433494198
-81.8062531,27.1905809,10,0.0831537225762955
-83.2362319,29.5526748,137,0.04803900971745667
-81.6481132,30.3352449,4452,0.04570280097247654
-87.3203222,30.5299979,312,0.0491758044506378
-81.2862532,29.4748909,231,0.06309318650278567
-84.8152135,29.6777939,58,0.03704777179900159
-84.6126072,30.5786866,289,0.0356784480478884
-82.7958011,29.7234556,228,0.04999302704183082
-81.1908197,26.9548102,19,0.07481318959498486
-85.2720125,29.8592383,71,0.036915103318102806
-82.9511163,30.4984382,140,0.03796109139362324
-81.8215798,27.4928458,196,0.10305460023634833
-81.1521142,26.539967,143,0.06623367942917648
-82.5259685,28.5559951,1013,0.11930729411974071
-81.3423534,27.3410799,557,0.1043339075830664
-82.3799907,27.8931535,7448,0.1452524348509094
-85.8159385,30.8620072,103,0.04696613868367393
-80.5747894,27.7005283,761,0.07773695746921566
-85.2088141,30.7892485,328,0.036972578638983476
-83.9217606,30.396898,93,0.03694983007712811
-83.1785097,29.9900661,64,0.042761988624300466
-81.7122822,28.7641128,719,0.10804509324274233
-81.9841817,26.5632731,1343,0.06771209446971578
-84.2778004,30.4593104,1847,0.058823448899866515
-82.831233,29.2718541,301,0.059051778394219115
-84.8685805,30.2598494,41,0.03660018092946457
-83.4704159,30.4472325,112,0.03708317208508043
-82.3931438,27.4755558,61,0.08548938321522498
-82.0431004,29.2028047,1147,0.07326143067177471
-80.3982011,27.0836036,838,0.10629131343472584
-80.5037495,25.6160085,13033,0.10629131343472584
-81.0226025,25.5861198,140,0.2074297028005605
-81.7650867,30.6059629,166,0.06410329326595715
-86.5910804,30.6143245,398,0.03902767993932753
-80.8873884,27.3855924,128,0.16093967069093656
-81.3232839,28.5143906,2821,0.08287872203099705
-81.1393116,28.0590267,202,0.14944033838676413
-80.4483542,26.6491257,8095,0.0971977963113647
-82.5110062,28.3098227,2821,0.07945093029382308
-82.7980663,27.9053425,1998,0.15814059555420046
-81.6934929,27.9536855,1087,0.1029516479319082
-81.7320389,29.5938964,198,0.1653253850866919
-80.4435357,27.3798137,218,0.09054097266219281
-87.0189188,30.6753483,835,0.09430895957178329
-82.4237142,27.2253289,20,0.072187148196339
-81.1319751,28.6900648,620,0.10788163505614258
-82.0695216,28.7133259,100,0.11051886300604878
-82.9927542,30.1892438,349,0.04133638984139741
-83.6395729,29.967146,152,0.04043612512584699
-82.366918,30.0542796,105,0.0468648190098321
-81.161792,29.057769,1738,0.10187435314263027
-84.3591114,30.0913354,235,0.03744379320555762
-86.162798,30.5712465,99,0.06617904411586706
-85.6558052,30.6021017,179,0.04336847486409017
