DestinationID,lng,lat,D_Supply
0,-81.1075,29.2432,98
1,-81.2848,28.914,132
2,-81.6419,28.1815,135
3,-81.3699,28.5747,476
4,-81.51,27.5392,344
5,-82.422,28.0697,0
6,-81.7147,28.8238,44
7,-82.188,28.2609,317
8,-87.2313,30.4294,225
9,-80.3403,25.6831,202
10,-81.3981,30.2733,211
11,-81.4486,30.6531,0
12,-80.0704,26.5048,181
13,-80.1024,26.3586,203
14,-80.2557,26.2684,211
15,-80.1408,26.1022,17
16,-80.1215,26.2769,95
17,-81.9432,26.6394,0
18,-80.3943,27.6585,170
19,-80.2435,27.199,391
20,-80.0519,26.7252,159
21,-82.336,28.8334,0
22,-85.6651,30.1866,274
23,-81.6012,30.2878,20
24,-82.4116,29.6603,42
25,-80.2029,26.2631,0
26,-82.535,28.5367,121
27,-81.7376,30.166,385
28,-80.252,26.6842,58
29,-81.6921,29.6426,0
30,-82.6598,28.2038,0
31,-81.433,27.4657,195
32,-80.1199,26.1871,0
33,-80.4305,25.4792,89
34,-85.2419,30.7868,0
35,-80.0965,26.9226,231
36,-81.8743,26.6282,52
37,-80.3733,25.9909,116
38,-80.3097,26.014,0
39,-80.1797,26.0189,0
40,-82.803,27.9528,395
41,-80.1414,25.813,486
42,-86.5622,30.7356,174
43,-87.067,30.6344,0
44,-82.1387,28.0156,78
45,-80.2938,25.7035,60
46,-84.2617,30.4567,92
47,-82.4592,27.9381,212
48,-81.6646,30.3488,0
49,-82.3436,29.6399,0
50,-80.456,25.6786,464
51,-81.7247,28.0276,95
