lng,lat,O_Demand,accessibility
-82.357221,29.6757403,2084,0.1271221395514489
-82.3022838,30.3244416,116,0.053201927829817995
-85.5343954,30.1591402,1771,0.09432270324051169
-82.1666983,29.9523863,222,0.06418402192908938
-80.7003334,28.2983112,90,0.06663915516363278
-80.4766834,26.1935353,15730,0.10436036662815758
-85.1979155,30.3888013,83,0.05027282341567618
-82.0036572,26.9063964,111,0.08193265893282115
-82.5955524,28.8502922,681,0.06614233865730178
-81.8650364,29.9865835,808,0.07324653666289613
-81.4009553,26.118786,44,0.06625455750573044
-82.6233712,30.2216509,585,0.05011314664217868
-81.8062531,27.1905809,10,0.07215501417080024
-83.2362319,29.5526748,137,0.0483956297135217
-81.6481132,30.3352449,4452,0.09735318620216173
-87.3203222,30.5299979,312,0.06352003952023608
-81.2862532,29.4748909,231,0.0694386388762616
-84.8152135,29.6777939,58,0.041621951078563764
-84.6126072,30.5786866,289,0.04204659561478037
-82.7958011,29.7234556,228,0.05654127408161999
-81.1908197,26.9548102,19,0.07160109847839735
-85.2720125,29.8592383,71,0.048163839946514214
-82.9511163,30.4984382,140,0.04280036691455868
-81.8215798,27.4928458,196,0.07241076788876741
-81.1521142,26.539967,143,0.07255248722045862
-82.5259685,28.5559951,1013,0.07087902883984212
-81.3423534,27.3410799,557,0.07565568786524565
-82.3799907,27.8931535,7448,0.09013398831698445
-85.8159385,30.8620072,103,0.05100165227538656
-80.5747894,27.7005283,761,0.06439833713724201
-85.2088141,30.7892485,328,0.05846631002156384
-83.9217606,30.396898,93,0.04161009645922594
-83.1785097,29.9900661,64,0.046152379625362526
-81.7122822,28.7641128,719,0.11248904048333601
-81.9841817,26.5632731,1343,0.13334943172281974
-84.2778004,30.4593104,1847,0.10526222338056167
-82.831233,29.2718541,301,0.056558057664771386
-84.8685805,30.2598494,41,0.044500390528795675
-83.4704159,30.4472325,112,0.04078472033486014
-82.3931438,27.4755558,61,0.06529247206141663
-82.0431004,29.2028047,1147,0.07022797096340025
-80.3982011,27.0836036,838,0.0861273273070766
-80.5037495,25.6160085,13033,0.0861273273070766
-81.0226025,25.5861198,140,0.13429902322945952
-81.7650867,30.6059629,166,0.06657349248430645
-86.5910804,30.6143245,398,0.05505634342462924
-80.8873884,27.3855924,128,0.1319267660044926
-81.3232839,28.5143906,2821,0.06899473481599981
-81.1393116,28.0590267,202,0.2106853275749099
-80.4483542,26.6491257,8095,0.07524568508679012
-82.5110062,28.3098227,2821,0.0910593440587097
-82.7980663,27.9053425,1998,0.07888793508434977
-81.6934929,27.9536855,1087,0.11878773302819441
-81.7320389,29.5938964,198,0.08760341728922265
-80.4435357,27.3798137,218,0.07271599269329586
-87.0189188,30.6753483,835,0.06336973961324621
-82.4237142,27.2253289,20,0.062108065913887484
-81.1319751,28.6900648,620,0.10733091455573986
-82.0695216,28.7133259,100,0.08056226419956175
-82.9927542,30.1892438,349,0.04606006899042046
-83.6395729,29.967146,152,0.04288401380044076
-82.366918,30.0542796,105,0.05832235146286416
-81.161792,29.057769,1738,0.09359724682612154
-84.3591114,30.0913354,235,0.04218039057248718
-86.162798,30.5712465,99,0.06681157789158491
-85.6558052,30.6021017,179,0.055307682464572155
