lng,lat,O_Demand,accessibility
-82.357221,29.6757403,2084,0.08879176511302728
-82.3022838,30.3244416,116,0.04408279934279779
-85.5343954,30.1591402,1771,0.03307640804581866
-82.1666983,29.9523863,222,0.05385677901596081
-80.7003334,28.2983112,90,0.08012578260799076
-80.4766834,26.1935353,15730,0.07284776147884449
-85.1979155,30.3888013,83,0.030611008946601622
-82.0036572,26.9063964,111,0.07613666733005284
-82.5955524,28.8502922,681,0.09098719399194528
-81.8650364,29.9865835,808,0.0552293268109974
-81.4009553,26.118786,44,0.05793789687966114
-82.6233712,30.2216509,585,0.04382256895761975
-81.8062531,27.1905809,10,0.07975419104932771
-83.2362319,29.5526748,137,0.04838746534505114
-81.6481132,30.3352449,4452,0.053687950638859595
-87.3203222,30.5299979,312,0.08763879445905239
-81.2862532,29.4748909,231,0.06474856359226408
-84.8152135,29.6777939,58,0.03338024742563368
-84.6126072,30.5786866,289,0.03199843711085989
-82.7958011,29.7234556,228,0.05214115200739372
-81.1908197,26.9548102,19,0.07421261671721921
-85.2720125,29.8592383,71,0.03150181648851309
-82.9511163,30.4984382,140,0.03780940394012035
-81.8215798,27.4928458,196,0.09218737007688192
-81.1521142,26.539967,143,0.06693868667292092
-82.5259685,28.5559951,1013,0.12271501829857642
-81.3423534,27.3410799,557,0.09180300784262586
-82.3799907,27.8931535,7448,0.11846103049485701
-85.8159385,30.8620072,103,0.028876337669018905
-80.5747894,27.7005283,761,0.07661608389773307
-85.2088141,30.7892485,328,0.028828297334251924
-83.9217606,30.396898,93,0.0356777473041341
-83.1785097,29.9900661,64,0.04284197902880439
-81.7122822,28.7641128,719,0.13076534848470944
-81.9841817,26.5632731,1343,0.09951081329963539
-84.2778004,30.4593104,1847,0.08563742171801339
-82.831233,29.2718541,301,0.06183140553168347
-84.8685805,30.2598494,41,0.03182761728952794
-83.4704159,30.4472325,112,0.03605735762214527
-82.3931438,27.4755558,61,0.07921465346230994
-82.0431004,29.2028047,1147,0.08012956931756496
-80.3982011,27.0836036,838,0.11106526668947213
-80.5037495,25.6160085,13033,0.11106526668947213
-81.0226025,25.5861198,140,0.13337480889929856
-81.7650867,30.6059629,166,0.055318484452126344
-86.5910804,30.6143245,398,0.041504746137641185
-80.8873884,27.3855924,128,0.04049759178033974
-81.3232839,28.5143906,2821,0.0806850387349104
-81.1393116,28.0590267,202,0.3155113066949906
-80.4483542,26.6491257,8095,0.09853264502528362
-82.5110062,28.3098227,2821,0.08262458057677342
-82.7980663,27.9053425,1998,0.1497603570890423
-81.6934929,27.9536855,1087,0.09727919402333127
-81.7320389,29.5938964,198,0.12088695928096041
-80.4435357,27.3798137,218,0.08990399354218413
-87.0189188,30.6753483,835,0.06607200341087506
-82.4237142,27.2253289,20,0.06946146119641516
-81.1319751,28.6900648,620,0.13207874819124876
-82.0695216,28.7133259,100,0.12110897475799437
-82.9927542,30.1892438,349,0.04160585315628401
-83.6395729,29.967146,152,0.03942032574226838
-82.366918,30.0542796,105,0.04949814465984343
-81.161792,29.057769,1738,0.08472948495098279
-84.3591114,30.0913354,235,0.03500368163090402
-86.162798,30.5712465,99,0.03209884075660566
-85.6558052,30.6021017,179,0.029864159694537578
