DestinationID,lng,lat,D_Supply
0,-81.1075,29.2432,38
1,-81.2848,28.914,61
2,-81.6419,28.1815,0
3,-81.3699,28.5747,0
4,-81.51,27.5392,129
5,-82.422,28.0697,48
6,-81.7147,28.8238,62
7,-82.188,28.2609,78
8,-87.2313,30.4294,0
9,-80.3403,25.6831,94
10,-81.3981,30.2733,116
11,-81.4486,30.6531,0
12,-80.0704,26.5048,157
13,-80.1024,26.3586,318
14,-80.2557,26.2684,115
15,-80.1408,26.1022,0
16,-80.1215,26.2769,18
17,-81.9432,26.6394,33
18,-80.3943,27.6585,59
19,-80.2435,27.199,21
20,-80.0519,26.7252,0
21,-82.336,28.8334,142
22,-85.6651,30.1866,650
23,-81.6012,30.2878,0
24,-82.4116,29.6603,227
25,-80.2029,26.2631,0
26,-82.535,28.5367,115
27,-81.7376,30.166,392
28,-80.252,26.6842,0
29,-81.6921,29.6426,20
30,-82.6598,28.2038,0
31,-81.433,27.4657,607
32,-80.1199,26.1871,12
33,-80.4305,25.4792,39
34,-85.2419,30.7868,34
35,-80.0965,26.9226,615
36,-81.8743,26.6282,33
37,-80.3733,25.9909,104
38,-80.3097,26.014,0
39,-80.1797,26.0189,0
40,-82.803,27.9528,168
41,-80.1414,25.813,110
42,-86.5622,30.7356,157
43,-87.067,30.6344,59
44,-82.1387,28.0156,1042
45,-80.2938,25.7035,0
46,-84.2617,30.4567,184
47,-82.4592,27.9381,42
48,-81.6646,30.3488,46
49,-82.3436,29.6399,574
50,-80.456,25.6786,350
51,-81.7247,28.0276,181
