DestinationID,lng,lat,D_Supply
0,-81.1075,29.2432,0
1,-81.2848,28.914,182
2,-81.6419,28.1815,0
3,-81.3699,28.5747,773
4,-81.51,27.5392,354
5,-82.422,28.0697,379
6,-81.7147,28.8238,0
7,-82.188,28.2609,571
8,-87.2313,30.4294,44
9,-80.3403,25.6831,127
10,-81.3981,30.2733,420
11,-81.4486,30.6531,0
12,-80.0704,26.5048,0
13,-80.1024,26.3586,0
14,-80.2557,26.2684,87
15,-80.1408,26.1022,0
16,-80.1215,26.2769,6
17,-81.9432,26.6394,0
18,-80.3943,27.6585,38
19,-80.2435,27.199,409
20,-80.0519,26.7252,0
21,-82.336,28.8334,0
22,-85.6651,30.1866,134
23,-81.6012,30.2878,0
24,-82.4116,29.6603,12
25,-80.2029,26.2631,0
26,-82.535,28.5367,0
27,-81.7376,30.166,313
28,-80.252,26.6842,310
29,-81.6921,29.6426,0
30,-82.6598,28.2038,663
31,-81.433,27.4657,0
32,-80.1199,26.1871,0
33,-80.4305,25.4792,379
34,-85.2419,30.7868,201
35,-80.0965,26.9226,504
36,-81.8743,26.6282,503
37,-80.3733,25.9909,0
38,-80.3097,26.014,0
39,-80.1797,26.0189,16
40,-82.803,27.9528,206
41,-80.1414,25.813,65
42,-86.5622,30.7356,26
43,-87.067,30.6344,0
44,-82.1387,28.0156,0
45,-80.2938,25.7035,0
46,-84.2617,30.4567,217
47,-82.4592,27.9381,127
48,-81.6646,30.3488,0
49,-82.3436,29.6399,94
50,-80.456,25.6786,90
51,-81.7247,28.0276,0
