lng,lat,O_Demand,accessibility
-82.357221,29.6757403,2084,0.0832946730519928
-82.3022838,30.3244416,116,0.04224805356305401
-85.5343954,30.1591402,1771,0.06525705128553778
-82.1666983,29.9523863,222,0.051543596560325707
-80.7003334,28.2983112,90,0.07849642215112994
-80.4766834,26.1935353,15730,0.07889994217616386
-85.1979155,30.3888013,83,0.037601448723989954
-82.0036572,26.9063964,111,0.06640997352910698
-82.5955524,28.8502922,681,0.09003646702230639
-81.8650364,29.9865835,808,0.04988870704375459
-81.4009553,26.118786,44,0.05617347346120401
-82.6233712,30.2216509,585,0.043226963770199175
-81.8062531,27.1905809,10,0.07676992845226677
-83.2362319,29.5526748,137,0.04959416744424089
-81.6481132,30.3352449,4452,0.041769962009250164
-87.3203222,30.5299979,312,0.04621048101386052
-81.2862532,29.4748909,231,0.06298409990043988
-84.8152135,29.6777939,58,0.036310411410992
-84.6126072,30.5786866,289,0.032891812467555355
-82.7958011,29.7234556,228,0.05312426251938389
-81.1908197,26.9548102,19,0.07120871534845792
-85.2720125,29.8592383,71,0.038172553024811456
-82.9511163,30.4984382,140,0.03756520647206247
-81.8215798,27.4928458,196,0.0926206030546832
-81.1521142,26.539967,143,0.06511044355589277
-82.5259685,28.5559951,1013,0.13554322074120223
-81.3423534,27.3410799,557,0.08949443987909905
-82.3799907,27.8931535,7448,0.14137686744668482
-85.8159385,30.8620072,103,0.03420468563852631
-80.5747894,27.7005283,761,0.07335255393189825
-85.2088141,30.7892485,328,0.03273737513279515
-83.9217606,30.396898,93,0.03501725216749126
-83.1785097,29.9900661,64,0.043333619765935874
-81.7122822,28.7641128,719,0.12553508425306548
-81.9841817,26.5632731,1343,0.06363281784539876
-84.2778004,30.4593104,1847,0.03462042465971673
-82.831233,29.2718541,301,0.06296292559611243
-84.8685805,30.2598494,41,0.03539478370793722
-83.4704159,30.4472325,112,0.03615447267737453
-82.3931438,27.4755558,61,0.085096545719334
-82.0431004,29.2028047,1147,0.07874574617320465
-80.3982011,27.0836036,838,0.09743783180569768
-80.5037495,25.6160085,13033,0.09743783180569768
-81.0226025,25.5861198,140,0.14927218844729198
-81.7650867,30.6059629,166,0.057555048205731894
-86.5910804,30.6143245,398,0.037647932033232655
-80.8873884,27.3855924,128,0.06068428098580019
-81.3232839,28.5143906,2821,0.07753341115621774
-81.1393116,28.0590267,202,0.2868527007288681
-80.4483542,26.6491257,8095,0.09748422224663957
-82.5110062,28.3098227,2821,0.10096025188668528
-82.7980663,27.9053425,1998,0.18140398875179534
-81.6934929,27.9536855,1087,0.10015798189820051
-81.7320389,29.5938964,198,0.14171224433057525
-80.4435357,27.3798137,218,0.08295924497430986
-87.0189188,30.6753483,835,0.0392269243051098
-82.4237142,27.2253289,20,0.07098875023824042
-81.1319751,28.6900648,620,0.12853642209762853
-82.0695216,28.7133259,100,0.12590116122001666
-82.9927542,30.1892438,349,0.04167247431539223
-83.6395729,29.967146,152,0.040133789764142745
-82.366918,30.0542796,105,0.04831023966649257
-81.161792,29.057769,1738,0.08821013825275038
-84.3591114,30.0913354,235,0.03584208721657952
-86.162798,30.5712465,99,0.04040141132257098
-85.6558052,30.6021017,179,0.038296192009731375
