DestinationID,lng,lat,D_Supply
0,-81.1075,29.2432,0
1,-81.2848,28.914,99
2,-81.6419,28.1815,204
3,-81.3699,28.5747,266
4,-81.51,27.5392,67
5,-82.422,28.0697,150
6,-81.7147,28.8238,124
7,-82.188,28.2609,140
8,-87.2313,30.4294,0
9,-80.3403,25.6831,247
10,-81.3981,30.2733,132
11,-81.4486,30.6531,170
12,-80.0704,26.5048,256
13,-80.1024,26.3586,179
14,-80.2557,26.2684,12
15,-80.1408,26.1022,355
16,-80.1215,26.2769,0
17,-81.9432,26.6394,58
18,-80.3943,27.6585,0
19,-80.2435,27.199,444
20,-80.0519,26.7252,0
21,-82.336,28.8334,10
22,-85.6651,30.1866,163
23,-81.6012,30.2878,16
24,-82.4116,29.6603,0
25,-80.2029,26.2631,0
26,-82.535,28.5367,623
27,-81.7376,30.166,290
28,-80.252,26.6842,86
29,-81.6921,29.6426,0
30,-82.6598,28.2038,106
31,-81.433,27.4657,182
32,-80.1199,26.1871,203
33,-80.4305,25.4792,146
34,-85.2419,30.7868,0
35,-80.0965,26.9226,143
36,-81.8743,26.6282,398
37,-80.3733,25.9909,326
38,-80.3097,26.014,295
39,-80.1797,26.0189,0
40,-82.803,27.9528,0
41,-80.1414,25.813,0
42,-86.5622,30.7356,355
43,-87.067,30.6344,258
44,-82.1387,28.0156,106
45,-80.2938,25.7035,0
46,-84.2617,30.4567,177
47,-82.4592,27.9381,0
48,-81.6646,30.3488,0
49,-82.3436,29.6399,0
50,-80.456,25.6786,158
51,-81.7247,28.0276,306
